CustomerID,Recency,Frequency,Monetary,Total_Quantity,Avg_Order_Value,Purchase_Frequency,Spending_per_Item,Customer_Value
12347.0,1,164,3243.33,1881,19.77640243902439,2.225609756097561,1.7242583732057415,531906.12
12348.0,248,6,90.2,140,15.033333333333333,18.166666666666668,0.6442857142857144,541.2
12349.0,18,53,918.1,510,17.322641509433964,0.0,1.8001960784313726,48659.3
12350.0,309,16,294.4,196,18.4,0.0,1.5020408163265304,4710.4
12352.0,35,59,986.34,476,16.717627118644067,4.406779661016949,2.072142857142857,58194.060000000005
12353.0,203,2,29.300000000000004,14,14.650000000000002,0.0,2.092857142857143,58.60000000000001
12354.0,231,39,664.84,376,17.047179487179488,0.0,1.7681914893617021,25928.760000000002
12355.0,213,9,219.0,80,24.333333333333332,0.0,2.7375,1971.0
12356.0,245,31,919.76,524,29.669677419354837,2.5806451612903225,1.755267175572519,28512.56
12357.0,32,88,2827.66,1514,32.1325,0.0,1.867675033025099,248834.08
12358.0,1,6,92.82,70,15.469999999999999,24.833333333333332,1.3259999999999998,556.92
12359.0,57,155,2784.38,1364,17.96374193548387,1.767741935483871,2.04133431085044,431578.9
12360.0,51,117,1843.16,1088,15.753504273504275,1.264957264957265,1.6940808823529412,215649.72
12361.0,286,9,174.9,90,19.433333333333334,0.0,1.9433333333333334,1574.1000000000001
12362.0,2,217,3926.39,1979,18.093963133640553,1.3456221198156681,1.9840272865083375,852026.63
12363.0,109,19,484.5,366,25.5,6.947368421052632,1.3237704918032787,9205.5
12364.0,7,78,1106.28,1281,14.183076923076923,1.3333333333333333,0.8636065573770492,86289.84
12365.0,290,20,307.94,172,15.397,0.0,1.7903488372093024,6158.8
12367.0,3,9,138.3,112,15.366666666666667,0.0,1.2348214285714287,1244.7
12370.0,50,148,2501.16,1319,16.899729729729728,2.0878378378378377,1.8962547384382107,370171.68
12371.0,59,56,1243.91,499,22.212678571428572,0.0,2.4928056112224453,69658.96
12372.0,71,44,938.34,670,21.325909090909093,5.090909090909091,1.4005074626865672,41286.96
12373.0,310,12,299.1,166,24.925,0.0,1.8018072289156628,3589.2000000000003
12374.0,24,29,531.73,331,18.33551724137931,0.0,1.6064350453172207,15420.17
12375.0,10,13,283.3,142,21.792307692307695,6.6923076923076925,1.9950704225352114,3682.9
12377.0,314,74,1472.52,934,19.89891891891892,0.527027027027027,1.576573875802998,108966.48
12378.0,129,189,3246.09,2028,17.175079365079366,0.0,1.6006360946745564,613511.01
12379.0,81,36,660.24,342,18.34,2.4444444444444446,1.9305263157894736,23768.64
12380.0,21,89,1655.55,866,18.601685393258425,1.8426966292134832,1.9117205542725173,147343.94999999998
12381.0,4,68,1171.56,730,17.228823529411763,1.6911764705882353,1.604876712328767,79666.08
12383.0,184,76,1211.84,1033,15.945263157894736,2.1973684210526314,1.1731268151016456,92099.84
12384.0,28,14,225.62,97,16.115714285714287,6.571428571428571,2.325979381443299,3158.6800000000003
12386.0,366,5,117.3,78,23.46,0.0,1.5038461538461538,586.5
12388.0,15,90,2314.9,1070,25.721111111111114,3.4555555555555557,2.1634579439252337,208341.0
12390.0,79,26,407.74,308,15.682307692307692,0.0,1.3238311688311688,10601.24
12391.0,21,96,421.16,269,4.387083333333334,0.0,1.565650557620818,40431.36
12393.0,71,58,1193.5,618,20.57758620689655,4.482758620689655,1.9312297734627832,69223.0
12394.0,216,19,331.18,178,17.430526315789475,0.0,1.860561797752809,6292.42
12395.0,18,119,1820.17,1187,15.295546218487395,2.9495798319327733,1.5334203875315924,216600.23
12397.0,35,107,1677.16,1132,15.674392523364487,0.9252336448598131,1.4815901060070673,179456.12
12398.0,45,80,1273.24,1299,15.9155,0.0,0.9801693610469592,101859.2
